"n_altas"|"C_FECHA_CAMBIO_ESTADO"
845|"2021-04-23"
830|"2020-02-18"
969|"2021-03-30"
884|"2022-02-02"
916|"2021-03-17"
561|"2018-11-30"
664|"2018-12-12"
792|"2021-01-06"
935|"2021-03-26"
748|"2019-07-17"
28|"2019-02-10"
268|"2021-12-31"
92|"2022-07-31"
744|"2021-12-09"
561|"2019-03-06"
786|"2022-04-27"
949|"2022-02-23"
614|"2019-03-27"
626|"2019-10-03"
531|"2018-09-15"
1006|"2020-09-17"
579|"2018-10-19"
910|"2021-03-27"
883|"2020-03-13"
724|"2021-12-14"
37|"2022-08-14"
675|"2018-06-26"
22|"2021-11-14"
1191|"2020-06-19"
919|"2021-03-16"
608|"2019-11-05"
640|"2019-07-22"
67|"2020-11-22"
724|"2019-04-04"
840|"2022-08-02"
634|"2022-01-06"
727|"2019-02-07"
610|"2019-05-11"
799|"2021-09-29"
757|"2021-05-24"
680|"2019-06-10"
851|"2020-10-31"
499|"2018-10-27"
764|"2018-08-29"
681|"2019-07-18"
857|"2022-08-12"
885|"2022-01-31"
760|"2020-04-25"
697|"2022-05-13"
1005|"2020-05-14"
696|"2021-10-25"
1016|"2020-09-08"
907|"2019-10-22"
918|"2022-02-11"
830|"2018-08-02"
707|"2020-11-21"
632|"2018-09-19"
712|"2021-06-05"
680|"2018-07-11"
699|"2019-06-27"
714|"2020-01-18"
867|"2022-04-08"
934|"2022-02-17"
842|"2022-07-06"
596|"2019-04-27"
1096|"2020-06-18"
936|"2020-11-23"
5|"2021-04-02"
27|"2019-07-07"
483|"2019-11-16"
784|"2020-03-21"
824|"2022-06-30"
652|"2018-09-04"
37|"2020-02-09"
599|"2019-03-26"
930|"2020-04-17"
572|"2021-12-23"
682|"2020-12-29"
1196|"2020-07-10"
874|"2022-04-12"
791|"2021-07-17"
597|"2019-05-31"
451|"2019-03-30"
5|"2019-11-17"
744|"2019-02-28"
783|"2021-09-10"
780|"2022-04-29"
783|"2020-01-15"
295|"2020-03-08"
858|"2020-03-09"
80|"2019-08-07"
1110|"2020-04-14"
636|"2018-09-06"
710|"2018-07-05"
943|"2021-02-04"
633|"2021-11-13"
550|"2019-01-08"
649|"2019-10-31"
131|"2020-08-02"
1002|"2020-09-29"
923|"2020-10-06"
797|"2021-11-03"
981|"2020-05-21"
821|"2022-04-19"
900|"2020-05-02"
429|"2019-05-23"
791|"2022-06-14"
998|"2021-02-26"
945|"2021-08-11"
876|"2020-10-05"
690|"2021-11-18"
767|"2018-06-05"
759|"2019-09-16"
752|"2021-05-22"
662|"2018-07-19"
802|"2022-04-26"
658|"2019-06-05"
667|"2019-10-28"
581|"2019-03-12"
515|"2019-10-18"
879|"2022-02-21"
643|"2019-08-30"
602|"2019-02-22"
225|"2018-12-24"
783|"2021-05-03"
1035|"2020-09-30"
141|"2021-11-28"
39|"2022-07-10"
53|"2021-10-24"
755|"2021-09-25"
908|"2021-01-21"
874|"2020-09-18"
885|"2021-01-30"
625|"2021-11-22"
829|"2022-05-28"
809|"2022-03-19"
747|"2022-07-08"
932|"2022-02-10"
792|"2019-09-26"
738|"2020-02-03"
774|"2021-05-25"
974|"2020-05-13"
19|"2022-07-24"
745|"2022-03-07"
663|"2021-12-22"
790|"2022-04-21"
913|"2020-09-25"
842|"2022-01-17"
646|"2019-10-19"
826|"2022-06-03"
1034|"2020-10-16"
620|"2019-02-11"
886|"2022-03-29"
370|"2020-12-26"
126|"2021-02-28"
669|"2019-03-28"
1237|"2019-02-05"
780|"2022-05-04"
1044|"2020-04-22"
617|"2019-01-24"
1155|"2020-07-27"
812|"2022-07-23"
829|"2021-07-15"
519|"2019-11-08"
888|"2021-04-14"
1038|"2021-02-22"
764|"2021-01-05"
615|"2019-09-27"
508|"2019-03-09"
648|"2019-11-13"
583|"2018-12-17"
666|"2019-06-19"
641|"2018-09-14"
136|"2021-04-01"
725|"2021-12-17"
905|"2021-05-04"
34|"2020-07-19"
732|"2020-02-24"
1065|"2020-04-23"
1240|"2020-08-26"
1130|"2020-06-09"
51|"2020-10-18"
717|"2019-07-08"
641|"2018-06-30"
670|"2019-09-24"
772|"2018-07-31"
826|"2021-07-26"
511|"2019-03-14"
700|"2020-01-13"
778|"2021-09-28"
856|"2018-11-01"
710|"2018-08-14"
670|"2020-12-19"
717|"2021-05-28"
598|"2019-01-09"
1|"2020-01-06"
563|"2018-12-19"
531|"2018-12-20"
743|"2019-11-25"
73|"2022-04-24"
1|"2019-08-11"
655|"2019-09-03"
519|"2019-12-23"
675|"2021-11-27"
588|"2021-12-28"
207|"2020-01-26"
619|"2022-01-15"
801|"2021-06-29"
810|"2022-04-02"
911|"2021-08-13"
1097|"2020-06-26"
690|"2019-02-09"
595|"2019-05-10"
763|"2021-06-18"
857|"2022-01-19"
838|"2022-07-27"
30|"2021-07-11"
558|"2018-10-29"
790|"2022-07-22"
20|"2021-11-15"
674|"2018-07-27"
170|"2019-09-22"
19|"2022-04-17"
2|"2019-06-24"
594|"2018-12-14"
5|"2021-04-04"
828|"2022-04-01"
815|"2019-03-01"
1136|"2020-07-03"
898|"2021-04-21"
931|"2021-03-24"
915|"2020-09-19"
761|"2020-02-01"
44|"2022-06-26"
1086|"2020-07-29"
938|"2021-04-10"
1103|"2020-08-31"
572|"2019-09-20"
575|"2019-05-06"
458|"2018-12-29"
568|"2018-10-22"
62|"2021-05-01"
567|"2018-12-06"
476|"2019-03-16"
427|"2020-07-25"
762|"2021-06-26"
925|"2021-02-01"
559|"2019-09-18"
566|"2018-08-24"
909|"2020-11-20"
1087|"2020-07-22"
815|"2021-09-07"
539|"2018-09-13"
565|"2019-03-20"
615|"2019-10-29"
6|"2020-06-21"
962|"2020-09-28"
883|"2022-03-28"
1|"2020-11-01"
1184|"2020-08-24"
43|"2022-08-07"
848|"2022-03-09"
2|"2019-05-12"
564|"2018-07-03"
764|"2021-05-18"
937|"2020-03-27"
780|"2019-03-04"
1021|"2020-10-14"
960|"2020-03-24"
19|"2022-07-17"
635|"2018-06-29"
553|"2019-07-26"
21|"2019-01-27"
843|"2021-07-31"
861|"2021-09-14"
760|"2018-06-16"
229|"2020-04-26"
62|"2022-05-15"
736|"2022-01-11"
668|"2021-12-20"
680|"2021-11-11"
536|"2020-01-07"
1118|"2020-07-16"
934|"2021-03-09"
1029|"2020-03-20"
1028|"2020-09-09"
817|"2022-05-24"
573|"2020-03-04"
724|"2018-08-30"
768|"2020-02-11"
30|"2022-03-20"
955|"2020-10-23"
637|"2019-06-17"
471|"2019-03-23"
37|"2020-09-06"
951|"2022-02-03"
791|"2022-03-30"
824|"2021-04-29"
731|"2021-09-24"
21|"2022-06-27"
33|"2021-06-27"
870|"2020-02-27"
736|"2021-10-23"
798|"2022-08-10"
842|"2021-08-06"
62|"2021-04-18"
598|"2021-12-18"
1085|"2021-02-18"
164|"2022-01-23"
653|"2019-08-06"
599|"2019-03-05"
530|"2019-11-21"
614|"2019-09-13"
835|"2021-09-08"
678|"2018-09-29"
785|"2021-01-29"
613|"2018-08-18"
837|"2022-02-05"
618|"2018-11-10"
695|"2018-06-15"
860|"2022-02-19"
906|"2021-05-11"
526|"2019-08-14"
724|"2021-05-27"
597|"2019-12-09"
162|"2021-01-24"
619|"2019-08-23"
945|"2020-10-02"
652|"2018-07-24"
690|"2019-10-04"
818|"2020-11-25"
1084|"2020-04-06"
1016|"2020-06-04"
3|"2019-11-03"
847|"2021-08-25"
597|"2019-01-22"
569|"2019-07-02"
838|"2021-08-19"
508|"2022-01-04"
813|"2022-06-09"
193|"2019-01-02"
946|"2021-02-20"
547|"2018-09-26"
1032|"2020-07-09"
928|"2020-04-30"
54|"2021-11-21"
537|"2019-04-22"
94|"2021-03-28"
832|"2022-07-29"
932|"2021-03-06"
951|"2020-10-13"
646|"2018-08-21"
897|"2021-04-13"
867|"2020-12-03"
16|"2022-04-14"
83|"2020-12-27"
972|"2021-02-09"
