"n_altas"|"C_FECHA_CAMBIO_ESTADO"
598|"2019-01-14"
756|"2021-05-15"
1153|"2020-04-15"
807|"2022-03-26"
848|"2022-01-18"
700|"2019-10-02"
1084|"2020-08-29"
895|"2021-07-28"
60|"2019-03-03"
855|"2022-06-01"
704|"2021-10-04"
924|"2020-05-30"
754|"2020-05-06"
565|"2019-09-14"
1111|"2020-04-18"
795|"2020-03-03"
826|"2021-10-07"
1022|"2021-04-08"
669|"2019-08-09"
33|"2019-02-24"
631|"2019-04-29"
554|"2019-03-15"
911|"2022-02-22"
585|"2019-11-30"
607|"2019-03-22"
892|"2022-01-25"
567|"2019-07-16"
897|"2020-11-26"
1079|"2020-06-05"
8|"2021-12-26"
784|"2021-09-11"
604|"2019-10-12"
25|"2021-06-14"
721|"2021-06-24"
1014|"2020-09-10"
594|"2019-05-29"
783|"2021-06-03"
364|"2019-06-25"
731|"2021-11-30"
889|"2022-02-25"
862|"2022-04-04"
1|"2020-05-03"
415|"2019-12-07"
484|"2019-01-04"
719|"2022-06-23"
730|"2021-09-21"
797|"2022-06-06"
760|"2021-10-01"
1101|"2020-09-07"
590|"2019-04-11"
967|"2021-04-05"
543|"2019-10-17"
24|"2021-08-01"
891|"2021-07-29"
727|"2021-12-13"
1015|"2020-10-22"
1107|"2020-08-11"
222|"2020-06-15"
947|"2022-02-14"
